term,beta,se,ci_low,ci_high,outcome,intervention_class
intercept,0.12912761387353072,0.1770045967867959,-0.2178013958285892,0.47605662357565065,SAE,Other
cer,-0.4877196566158424,0.4478281103892283,-1.36546275297873,0.3900234397470451,SAE,Other
ef_mixed,0.07303425709534976,0.14667482912249977,-0.2144484079847498,0.36051692217544934,SAE,Other
ef_unknown,-0.7598559477926684,0.25270120674255464,-1.2551503130080754,-0.2645615825772613,SAE,Other
year_centered,0.026407975147786793,0.03216050689716051,-0.036626618370647804,0.0894425686662214,SAE,Other
intercept,-1.7618606039037301,1.0486878065511474,-3.8172887047439787,0.2935674969365185,SAE,SGLT2 inhibitors
cer,-0.6545766085181295,0.46409379998682265,-1.5642004564923018,0.2550472394560429,SAE,SGLT2 inhibitors
ef_mixed,1.9613652294793058,1.051829565031857,-0.10022071798313381,4.022951176941746,SAE,SGLT2 inhibitors
ef_unknown,0.0,0.0,0.0,0.0,SAE,SGLT2 inhibitors
year_centered,0.06673306078893938,0.06457382981303812,-0.059831645644615336,0.1932977672224941,SAE,SGLT2 inhibitors
intercept,0.08078783515206853,0.5245134953123991,-0.9472586156602336,1.1088342859643707,SAE,sGC stimulators
cer,-0.6886299037764235,5.5613457110563935,-11.588867497446953,10.211607689894107,SAE,sGC stimulators
ef_mixed,0.08078783515196311,0.5245134953115868,-0.947258615658747,1.1088342859626732,SAE,sGC stimulators
ef_unknown,0.0,0.0,0.0,0.0,SAE,sGC stimulators
year_centered,0.0011984996586404568,0.08817215762971206,-0.17161892929559516,0.1740159286128761,SAE,sGC stimulators
