outcome,intervention_class,k_studies,pooled_log_rr,pooled_rr,ci_low_log_rr,ci_high_log_rr,ci_low_rr,ci_high_rr,tau2,i2,q,tau2_drug,n_participants_treated,n_participants_control
HF_HOSPITALIZATION,Other,1,-0.916290731874155,0.4,-3.564104924750989,1.7315234610026788,0.0283223247541003,5.649253773803874,0.0,0.0,0.0,0.0,20,8
HF_HOSPITALIZATION,SGLT2 inhibitors,1,-0.40746911679487957,0.665331998665332,-1.671629100746821,0.8566908671570617,0.18794064186889392,2.355353605511289,0.0,0.0,0.0,0.0,2997,2991
