nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,subjects_source,is_total_term_available,is_event_count,is_incomplete,source_url
NCT01009918,SAE,AEs were collected for the duration of the study and 12 month follow-up period.,12.0,resultsSection.adverseEventsModule,EG000,Arm I Lisinopril,treatment,ARB/ACEi,lisinopril,5.0,,158,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01009918
NCT01009918,SAE,AEs were collected for the duration of the study and 12 month follow-up period.,12.0,resultsSection.adverseEventsModule,EG001,Arm II Coreg CR®,treatment,Other,arm ii coreg cr®,4.0,,156,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01009918
NCT01009918,SAE,AEs were collected for the duration of the study and 12 month follow-up period.,12.0,resultsSection.adverseEventsModule,EG002,Arm III Placebo,comparator,Placebo/SoC,placebo,6.0,,154,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01009918
NCT01392625,SAE,These AE's were collected over a period of 1 year from the subject signing the consent form.,12.0,resultsSection.adverseEventsModule,EG001,Allogeneic hMSCs,treatment,Other,allogeneic hmscs,6.0,,19,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01392625
NCT01392625,SAE,These AE's were collected over a period of 1 year from the subject signing the consent form.,12.0,resultsSection.adverseEventsModule,EG000,Autologous hMSCs,treatment,Other,autologous hmscs,6.0,,18,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01392625
NCT01516346,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG000,Isosorbide Dinitrate,treatment,Other,isosorbide dinitrate,3.0,,13,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01516346
NCT01516346,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG001,Isosorbide Dinitrate + Hydralazine,treatment,Other,isosorbide dinitrate + hydralazine,3.0,,15,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01516346
NCT01516346,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG002,Placebo,comparator,Placebo/SoC,placebo,1.0,,16,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01516346
NCT01920711,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 5 years.",60.0,resultsSection.adverseEventsModule,EG002,All Patients,treatment,ARNI,all patients,2840.0,,4821,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01920711
NCT01920711,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 5 years.",60.0,resultsSection.adverseEventsModule,EG000,LCZ696,treatment,ARNI,lcz696,1424.0,,2419,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01920711
NCT01920711,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 5 years.",60.0,resultsSection.adverseEventsModule,EG001,Valsartan,treatment,ARB/ACEi,valsartan,1416.0,,2402,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01920711
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG001,BAY1021189 1.25 mg,treatment,sGC stimulators,bay1021189 1.25 mg,20.0,,96,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG002,BAY1021189 2.5 mg,treatment,sGC stimulators,bay1021189 2.5 mg,24.0,,95,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG004,BAY1021189 From 2.5 to 10 mg,treatment,sGC stimulators,bay1021189 from 2.5 to 10 mg,21.0,,96,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG003,BAY1021189 From 2.5 to 5 mg,treatment,sGC stimulators,bay1021189 from 2.5 to 5 mg,18.0,,95,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,20.0,,93,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT01953874,SAE,6 months,6.0,resultsSection.adverseEventsModule,EG000,MV ASV+OMT,treatment,Other,mv asv+omt,,,65,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT01953874
NCT01953874,SAE,6 months,6.0,resultsSection.adverseEventsModule,EG001,OMT Only,treatment,Other,omt only,,,61,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT01953874
NCT02053493,SAE,Informed Consent through Week 15 phone visit,3.4522439585730726,resultsSection.adverseEventsModule,EG000,Isosorbide Mononitrate Crossover to Placebo,comparator,Placebo/SoC,placebo,2.0,,51,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02053493
NCT02053493,SAE,Informed Consent through Week 15 phone visit,3.4522439585730726,resultsSection.adverseEventsModule,EG001,Placebo Crossover to Isosorbide Mononitrate,comparator,Placebo/SoC,placebo,1.0,,59,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02053493
NCT02145351,SAE,"Adverse Events were assessed for all subjects during Pacemaker implantation (4 weeks), first treatment period (4 weeks), washout period (4 weeks), and second treatment period (4 weeks) for a total of approximately 16 weeks.",0.9205983889528194,resultsSection.adverseEventsModule,EG002,Pacemaker Implantation,treatment,Other,pacemaker implantation,1.0,,32,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02145351
NCT02173548,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG000,Anakinra,treatment,Other,anakinra,1.0,,20,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02173548
NCT02173548,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1.0,,10,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02173548
NCT02256345,SAE,Adverse events were collected at every visit. There are a total of three visits that are 1 week apart.,0.23014959723820486,resultsSection.adverseEventsModule,EG001,Randomized to KCl,treatment,Other,randomized to kcl,,,3,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02256345
NCT02256345,SAE,Adverse events were collected at every visit. There are a total of three visits that are 1 week apart.,0.23014959723820486,resultsSection.adverseEventsModule,EG000,Randomized to KNO3,treatment,Other,randomized to kno3,,,9,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02256345
NCT02262078,SAE,From baseline to X hours following treatment.,,resultsSection.adverseEventsModule,EG000,Placebo (Saline),comparator,Placebo/SoC,placebo,,,13,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02262078
NCT02262078,SAE,From baseline to X hours following treatment.,,resultsSection.adverseEventsModule,EG001,Sodium Nitrite,treatment,Other,sodium nitrite,,,13,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02262078
NCT02275819,SAE,Adverse event data was collected while participants were enrolled from enrollment until collection of the final study endpoint at 3-5 months.,5.0,resultsSection.adverseEventsModule,EG001,Intervention Group,treatment,Other,intervention group,4.0,,5,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02275819
NCT02457260,SAE,patients were assessed over 4 weeks of the nitrite intervention,0.9205983889528194,resultsSection.adverseEventsModule,EG001,HFpEF,treatment,Other,hfpef,,,7,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02457260
NCT02457260,SAE,patients were assessed over 4 weeks of the nitrite intervention,0.9205983889528194,resultsSection.adverseEventsModule,EG002,HFrEF,treatment,Other,hfref,,,2,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02457260
NCT02457260,SAE,patients were assessed over 4 weeks of the nitrite intervention,0.9205983889528194,resultsSection.adverseEventsModule,EG000,Healthy Control,comparator,Placebo/SoC,placebo,,,12,subjects_non_total_not_used,,False,False,True,https://clinicaltrials.gov/study/NCT02457260
NCT02501811,SAE,Events reported occurred between randomization and the end of 12 Month Visit Window (an average of 395 days following study product injection).,12.0,resultsSection.adverseEventsModule,EG002,CPCs,treatment,Other,cpcs,13.0,,31,subjects_with_>=1_sae,event_group_total,False,True,False,https://clinicaltrials.gov/study/NCT02501811
