intervention_label,mu,var,k,pooled_mu,pooled_se,tau2_drug,outcome,intervention_class
lisinopril,-0.2079639874072922,0.5140172064222697,1,-0.2079639874072922,0.7169499329955124,0.0,SAE,ARB/ACEi
finerenone,-0.047266181750373566,0.0010204806830764203,1,-0.047266181750373566,0.0319449633444213,0.0,SAE,MRA
100 mg ly3540378; 25 mg ly3540378; 50 mg ly3540378,0.4506124399310851,0.06657241935019713,1,0.09658697277794116,0.11336973307127653,0.01592776443371913,SAE,Other
ag10 400mg,-0.6325225587435105,1.378676470588235,1,0.004524944102443411,0.12548248306610643,0.01592776443371913,SAE,Other
air001,0.21338737636884497,0.4304873405672948,1,0.019074182291817048,0.1239333427631925,0.01592776443371913,SAE,Other
allopurinol; verinurad + allopurinol,0.10536051565782635,0.13280922431865827,1,0.021894736759999586,0.1192564946204485,0.01592776443371913,SAE,Other
anakinra,-0.6931471805599453,1.8499999999999999,1,0.005866484974769647,0.1256654418935401,0.01592776443371913,SAE,Other
arm ii coreg cr®,-0.4183685129440723,0.5639360639360639,1,6.647096972288117e-05,0.12445986831275524,0.01592776443371913,SAE,Other
azd4831,-0.6567795363890705,0.8915343915343916,1,0.00014832811654037943,0.12509276762149152,0.01592776443371913,SAE,Other
azd4831 2.5 mg; azd4831 5 mg,0.03520043651168925,0.020039127613865025,1,0.02220996949888343,0.09420313625715133,0.01592776443371913,SAE,Other
cilostazol,-0.5108256237659907,0.44637681159420284,1,-0.00612420748618854,0.12401211911243501,0.01592776443371913,SAE,Other
coq10 + d-ribose; coq10 only; d-ribose only,0.03406655456360627,0.13423776588185132,1,0.014237499123683288,0.11932450535025718,0.01592776443371913,SAE,Other
cpcs; mscs; mscs + cpcs,-0.24366328154538625,0.03794311128595157,1,-0.06367203523485264,0.10591729090073065,0.01592776443371913,SAE,Other
isosorbide dinitrate; isosorbide dinitrate + hydralazine,1.2321436812926323,1.068452380952381,1,0.029808315990437994,0.12527494449420715,0.01592776443371913,SAE,Other
levosimendan 2.5mg/ml injectable solution,1.1526795099383853,1.225146198830409,1,0.026525510744001966,0.12539278208816082,0.01592776443371913,SAE,Other
macitentan,0.23180161405732438,0.04979200540574784,1,0.06518351012721228,0.10985231262094308,0.01592776443371913,SAE,Other
neladenoson bialanate 10mg; neladenoson bialanate 20mg; neladenoson bialanate 30mg; neladenoson bialanate 40mg; neladenoson bialanate 5mg,-0.036637236818020384,0.04648778327808209,1,-0.0004975560923352042,0.10891819559520739,0.01592776443371913,SAE,Other
nicotinamide riboside,-1.3862943611198906,1.35,1,-0.004419124733664366,0.12546726463541383,0.01592776443371913,SAE,Other
nitroglycerin (ntg),-0.0953101798043249,1.9522727272727274,1,0.011017234468208171,0.12569354866088595,0.01592776443371913,SAE,Other
oral treprostinil,0.3660817801077893,0.1682630330531635,1,0.04251364675694577,0.12062513278427979,0.01592776443371913,SAE,Other
period 1: crd-740; period 2: crd-740,-0.719122666963206,1.434547908232119,1,0.0038574767483755337,0.1255104005746264,0.01592776443371913,SAE,Other
randomized arm - treatment group,0.05164497535035067,0.003209895487644747,1,0.04497612023650234,0.05168665676353922,0.01592776443371913,SAE,Other
recieved cells,0.0,0.5128205128205128,1,0.011526705148429734,0.12428983847742567,0.01592776443371913,SAE,Other
semaglutide 2.4 mg,-0.6959895389479672,0.03509425574862019,1,-0.2090954487732836,0.10466864577936359,0.01592776443371913,SAE,Other
sodium nitrite,0.8198988861990893,0.4213856713856714,1,0.04131408578863317,0.12388561572709418,0.01592776443371913,SAE,Other
tirzepatide - mtd,0.029261389615661902,0.015582916151427368,1,0.02066813605534532,0.08875092480638277,0.01592776443371913,SAE,Other
dapa 10 mg,0.010815444019541036,0.01365949659472308,2,-0.0015060024079558325,0.08602282248120836,0.016147954895628147,SAE,SGLT2 inhibitors
dapagliflozin,0.3429447511268304,0.06536693095832881,1,0.055048468757392534,0.1137939961306093,0.016147954895628147,SAE,SGLT2 inhibitors
empagliflozin,-0.17933510575260206,0.02188291747079973,4,-0.08539379711913425,0.09639249715473153,0.016147954895628147,SAE,SGLT2 inhibitors
bay1021189 1.25 mg; bay1021189 2.5 mg; bay1021189 from 2.5 to 10 mg; bay1021189 from 2.5 to 5 mg,0.010287218789287603,0.04867770355192091,1,0.010287218789287603,0.22063024169846007,0.0,SAE,sGC stimulators
praliciguat,0.09431067947124121,0.189010989010989,1,0.09431067947124121,0.4347539407653357,0.0,SAE,sGC stimulators
vericiguat,0.03701246610358741,0.02511539875579291,1,0.03701246610358741,0.15847838576851075,0.0,SAE,sGC stimulators
