nct_id,outcome_domain,outcome_title,outcome_description,time_frame,time_months,outcome_idx,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,events,denominator,value_raw,is_event_count,is_rate_only,incomplete_reason,source_url
NCT01953874,HF_HOSPITALIZATION,Number of Subjects With HF Hospitalization,Rates of hospitalization or urgent clinic visit for worsening of heart failure and for any reason,"2 days, 1 week, 1, 2, 3, and 6 months",6.0,12,resultsSection.outcomeMeasuresModule.outcomeMeasures[12],OG000,MV ASV+OMT,treatment,Other,mv asv+omt,34.0,65,34.0,True,False,,https://clinicaltrials.gov/study/NCT01953874
NCT01953874,HF_HOSPITALIZATION,Number of Subjects With HF Hospitalization,Rates of hospitalization or urgent clinic visit for worsening of heart failure and for any reason,"2 days, 1 week, 1, 2, 3, and 6 months",6.0,12,resultsSection.outcomeMeasuresModule.outcomeMeasures[12],OG001,OMT Only,treatment,Other,omt only,27.0,61,27.0,True,False,,https://clinicaltrials.gov/study/NCT01953874
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG000,Anakinra,treatment,Other,anakinra,1.0,20,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG001,Placebo,comparator,Placebo/SoC,placebo,1.0,8,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT03057951,HF_HOSPITALIZATION,Time to First Adjudicated Hospitalisation for Heart Failure (HHF),"Time to first adjudicated HHF. The incidence rate per 100 patient years (pt-yrs) is presented and calculated as followed: Incidence rate per 100 pt-yrs = 100 \* number of patients with event / time at risk \[years\]. Time at risk \[years\] = Sum of time at risk \[days\] over all patients in a treatment group / 365.25. Patients without a specific endpoint event were censored at the last date the patient was known to be free of the event or at the end of the planned treatment period, whichever was earlier.","From randomization until completion of the planned treatment phase, up to 1403 days.",46.09445585215606,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG001,10 mg Empagliflozin,treatment,SGLT2 inhibitors,empagliflozin,,2997,4.28,False,True,missing_denominator_or_noncount,https://clinicaltrials.gov/study/NCT03057951
NCT03057951,HF_HOSPITALIZATION,Time to First Adjudicated Hospitalisation for Heart Failure (HHF),"Time to first adjudicated HHF. The incidence rate per 100 patient years (pt-yrs) is presented and calculated as followed: Incidence rate per 100 pt-yrs = 100 \* number of patients with event / time at risk \[years\]. Time at risk \[years\] = Sum of time at risk \[days\] over all patients in a treatment group / 365.25. Patients without a specific endpoint event were censored at the last date the patient was known to be free of the event or at the end of the planned treatment period, whichever was earlier.","From randomization until completion of the planned treatment phase, up to 1403 days.",46.09445585215606,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG000,Placebo,comparator,Placebo/SoC,placebo,,2991,5.97,False,True,missing_denominator_or_noncount,https://clinicaltrials.gov/study/NCT03057951
