intervention_class,baseline_risk_per_1000,rr_hfhosp,rr_hfhosp_ci_low,rr_hfhosp_ci_high,arr_hfhosp_per_1000,arr_hfhosp_ci_low,arr_hfhosp_ci_high,rr_sae,rr_sae_ci_low,rr_sae_ci_high,ari_sae_per_1000,ari_sae_ci_low,ari_sae_ci_high,net_benefit_per_1000
MRA,50,0.8427099011666432,0.7911830793797883,0.8975924738949056,7.864504941667839,5.120376305254723,10.440846031010587,0.790909090909091,0.5997862705122902,1.0429334928729865,-10.454545454545453,-20.01068647438549,2.1466746436493267,18.319050396213292
MRA,100,0.8427099011666432,0.7911830793797883,0.8975924738949056,15.729009883335678,10.240752610509446,20.881692062021173,0.790909090909091,0.5997862705122902,1.0429334928729865,-20.909090909090907,-40.02137294877098,4.293349287298653,36.638100792426584
MRA,200,0.8427099011666432,0.7911830793797883,0.8975924738949056,31.458019766671356,20.481505221018892,41.76338412404235,0.790909090909091,0.5997862705122902,1.0429334928729865,-41.81818181818181,-80.04274589754196,8.586698574597307,73.27620158485317
Other,50,1.008289575376717,0.8899739498808255,1.1423344109673068,-0.4144787688358491,-7.116720548365343,5.501302505958726,0.9875510698080897,0.750144793922192,1.3000918267790578,-0.6224465095955125,-12.4927603038904,15.004591338952892,0.2079677407596634
Other,100,1.008289575376717,0.8899739498808255,1.1423344109673068,-0.8289575376716982,-14.233441096730687,11.002605011917453,0.9875510698080897,0.750144793922192,1.3000918267790578,-1.244893019191025,-24.9855206077808,30.009182677905784,0.4159354815193268
Other,200,1.008289575376717,0.8899739498808255,1.1423344109673068,-1.6579150753433964,-28.466882193461373,22.005210023834906,0.9875510698080897,0.750144793922192,1.3000918267790578,-2.48978603838205,-49.9710412155616,60.01836535581157,0.8318709630386536
SGLT2 inhibitors,50,0.8388529194992276,0.754554385727303,0.9325692539367021,8.05735402503862,3.3715373031648923,12.27228071363485,0.7813519175761899,0.7246947806539485,0.8424385484728862,-10.932404121190501,-13.765260967302574,-7.878072576355692,18.98975814622912
SGLT2 inhibitors,100,0.8388529194992276,0.754554385727303,0.9325692539367021,16.11470805007724,6.743074606329785,24.5445614272697,0.7813519175761899,0.7246947806539485,0.8424385484728862,-21.864808242381002,-27.530521934605147,-15.756145152711383,37.97951629245824
SGLT2 inhibitors,200,0.8388529194992276,0.754554385727303,0.9325692539367021,32.22941610015448,13.48614921265957,49.0891228545394,0.7813519175761899,0.7246947806539485,0.8424385484728862,-43.729616484762005,-55.061043869210295,-31.512290305422766,75.95903258491649
sGC stimulators,50,0.9082031249999999,0.43060139849184387,1.915537012068921,4.589843750000007,-45.77685060344605,28.469930075407806,0.9362525751739763,0.479484213300699,1.8281496245428612,-3.187371241301186,-26.02578933496505,41.407481227143066,7.777214991301193
sGC stimulators,100,0.9082031249999999,0.43060139849184387,1.915537012068921,9.179687500000014,-91.5537012068921,56.93986015081561,0.9362525751739763,0.479484213300699,1.8281496245428612,-6.374742482602372,-52.0515786699301,82.81496245428613,15.554429982602386
sGC stimulators,200,0.9082031249999999,0.43060139849184387,1.915537012068921,18.35937500000003,-183.1074024137842,113.87972030163122,0.9362525751739763,0.479484213300699,1.8281496245428612,-12.749484965204744,-104.1031573398602,165.62992490857226,31.108859965204772
