node_type_from,node_id_from,edge_type,node_type_to,node_id_to,attributes
trial,NCT02638961,PRESPECIFIES,outcome_specified,Change in echocardiographic parameter of diastolic disfunction: left atrial volume index (mm/m2),"{""time_frame"": ""changes in rest at 12 weeks and 6 months""}"
trial,NCT02638961,PRESPECIFIES,outcome_specified,Change in echocardiographic parameter of diastolic disfunction: E/e' ratio,"{""time_frame"": ""changes in rest at 12 weeks and 6 months""}"
trial,NCT02638961,PRESPECIFIES,outcome_specified,Change in health-related QoL,"{""time_frame"": ""changes at 12 weeks and 6 months""}"
trial,NCT02638961,PRESPECIFIES,outcome_specified,Number of rehospitalizations or worsening HF at 6 months,"{""time_frame"": ""changes at 6 months""}"
trial,NCT02742129,TESTS,intervention_class,Other,{}
trial,NCT02742129,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02742129,PRESPECIFIES,outcome_specified,Peak VO2,"{""time_frame"": ""End of Phase 1 & End of Phase 2""}"
trial,NCT02742129,PRESPECIFIES,outcome_specified,Average Arbitrary Accelerometer Units (AAU),"{""time_frame"": ""End of Phase 1 & End of Phase 2""}"
trial,NCT02742129,PRESPECIFIES,outcome_specified,Medial E/e' Ratio as Measured by Echocardiography Core Lab,"{""time_frame"": ""End of Phase 1 & End of Phase 2""}"
trial,NCT02742129,PRESPECIFIES,outcome_specified,Left Atrial Volume Index as Measured by Echocardiography,"{""time_frame"": ""End of Phase 1 & End of Phase 2""}"
