node_type_from,node_id_from,edge_type,node_type_to,node_id_to,attributes
trial,NCT01942395,PRESPECIFIES,outcome_specified,Carotid-femoral pulse wave velocity,"{""time_frame"": ""The change from Week 3 in Carotid-femoral pulse wave velocity at Week 6, and Week 14""}"
trial,NCT01942395,PRESPECIFIES,outcome_specified,Six minute walk test distance,"{""time_frame"": ""The change from Baseline in six minute walk test distance at Week 3, Week 6, and Week 14""}"
trial,NCT01942395,PRESPECIFIES,outcome_specified,"Estimated glomerular filtration rate, serum potassium, serum calcium-phosphorus product","{""time_frame"": ""The change from Baseline in estimated glomerular filtration rate, serum potassium, serum calcium-phosphorus distance at Week 3, Week 6, and Week 14""}"
trial,NCT01942395,PRESPECIFIES,outcome_specified,"Echocardiographic ventricular systolic and diastolic function (resting), ventricular-vascular coupling (resting and during bicycle ergometer exercise)","{""time_frame"": ""The change from Week 3 in Echocardiographic ventricular systolic and diastolic function (resting), ventricular-vascular coupling (resting and during bicycle ergometer exercise) at Week 6, and Week 14""}"
trial,NCT01942395,PRESPECIFIES,outcome_specified,"Knowledge, skills and attitudes related to DASH/SRD","{""time_frame"": ""Change from the screening visit in knowledge, skills and attitudes related to DASH/SRD to Week 6""}"
trial,NCT01942395,PRESPECIFIES,outcome_specified,Pro-oxidant and pro-inflammatory gene activation in peripheral mononuclear cells and venous endothelial cells,"{""time_frame"": ""The change from Baseline in Pro-oxidant and pro-inflammatory gene activation in peripheral mononuclear cells and venous endothelial cells at Week 3, Week 6, and Week 14""}"
trial,NCT01951638,TESTS,intervention_class,sGC stimulators,{}
trial,NCT01951638,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT01951638,PRESPECIFIES,outcome_specified,Change From Baseline to Week 12 in Log-transformed N-terminal Pro-brain Natriuretic Peptide (NT-proBNP),"{""time_frame"": ""Baseline, Week 12 (end of treatment [EOT])""}"
trial,NCT01951638,PRESPECIFIES,outcome_specified,Change From Baseline to Week 12 in Left Atrial Volume (LAV),"{""time_frame"": ""Baseline, Week 12 (EOT)""}"
trial,NCT01951638,PRESPECIFIES,outcome_specified,Change From Baseline to Week 12 Systolic Blood Pressure (SBP) and Diastolic Blood Pressure (DBP),"{""time_frame"": ""Baseline, Week 12 (EOT)""}"
trial,NCT01951638,PRESPECIFIES,outcome_specified,Change From Baseline to Week 12 in Heart Rate,"{""time_frame"": ""Baseline, Week 12 (EOT)""}"
trial,NCT01951638,PRESPECIFIES,outcome_specified,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"{""time_frame"": ""Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period""}"
trial,NCT01951638,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02041130,TESTS,intervention_class,Other,{}
trial,NCT02041130,PRESPECIFIES,outcome_specified,Compare the changes in left atrial volume index (LAVi) and/or left ventricular mass index (LVMi) on cardiac magnetic resonance imaging (cMRI) between baseline and 6 months,"{""time_frame"": ""baseline, 6 months""}"
