term,beta,se,ci_low,ci_high,outcome,intervention_class
intercept,-0.6103870900830801,0.746262858412201,-2.0730622925709943,0.8522881124048338,HF_HOSPITALIZATION,Other
cer,-0.31351642916359146,0.9924400173175245,-2.2586988631059395,1.6316660047787566,HF_HOSPITALIZATION,Other
ef_mixed,0.9791763235385089,0.7843387299043211,-0.5581275870739604,2.516480234150978,HF_HOSPITALIZATION,Other
ef_unknown,1.0475646096990163,0.5421072931928855,-0.014965684959039383,2.110094904357072,HF_HOSPITALIZATION,Other
year_centered,0.07018791793306078,0.20368399565005238,-0.32903271354104185,0.4694085494071634,HF_HOSPITALIZATION,Other
