intervention_class,outcome,eligible_completed_trials,eligible_completed_participants,contributing_trials,contributing_participants,ecr_trials,ecr_participants,reporting_debt_rate,endpoint_alignment_rate,heterogeneity_i2,k_studies,penalty_ecr_participants,penalty_reporting_debt,penalty_heterogeneity,penalty_endpoint_mismatch,penalty_sparse,trust_score
ARNI,HF_HOSPITALIZATION,7,8593.0,0,0.0,0.0,0.0,0.16666666666666666,0.0,,0,30,10,15,10,10,25
Beta blockers,HF_HOSPITALIZATION,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,30,0,15,10,10,35
MRA,HF_HOSPITALIZATION,1,6016.0,1,6001.0,1.0,0.9975066489361702,0.0,1.0,0.0,1,5,0,0,0,10,85
Other,HF_HOSPITALIZATION,102,9547.0,5,1514.0,0.049019607843137254,0.1585838483293181,0.6235294117647059,0.4,72.12076378658412,5,30,20,15,10,0,25
SGLT2 inhibitors,HF_HOSPITALIZATION,9,13698.0,2,12251.0,0.2222222222222222,0.8943641407504745,0.14285714285714285,1.0,0.0,2,5,0,0,0,10,85
Unknown,HF_HOSPITALIZATION,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,30,0,15,10,10,35
sGC stimulators,HF_HOSPITALIZATION,3,1384.0,1,477.0,0.3333333333333333,0.34465317919075145,0.3333333333333333,1.0,0.0,1,30,20,0,0,10,40
ARNI,SAE,7,8593.0,0,0.0,0.0,0.0,0.16666666666666666,0.0,,0,30,10,15,10,10,25
Beta blockers,SAE,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,30,0,15,10,10,35
MRA,SAE,1,6016.0,1,5986.0,1.0,0.9950132978723404,0.0,1.0,0.0,1,5,0,0,0,10,85
Other,SAE,102,9547.0,22,3925.0,0.21568627450980393,0.41112391327118464,0.6235294117647059,0.23809523809523808,0.0,22,30,20,0,10,0,40
SGLT2 inhibitors,SAE,9,13698.0,5,13378.0,0.5555555555555556,0.976638925390568,0.14285714285714285,0.2,45.993026193734735,5,5,0,8,10,0,77
Unknown,SAE,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,30,0,15,10,10,35
sGC stimulators,SAE,3,1384.0,3,1444.0,1.0,1.0433526011560694,0.3333333333333333,0.3333333333333333,0.0,3,5,20,0,10,0,65
