nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT01951638,SAE,Treatment-emergent AEs were collected after first application of study medication up to 5 calendar days after end of treatment with study medication,0.16427104722792607,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,6,,93,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT01951638
NCT02053493,SAE,Informed Consent through Week 15 phone visit,3.4522439585730726,resultsSection.adverseEventsModule,EG000,Isosorbide Mononitrate Crossover to Placebo,comparator,Placebo/SoC,placebo,1,,51,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02053493
NCT02053493,SAE,Informed Consent through Week 15 phone visit,3.4522439585730726,resultsSection.adverseEventsModule,EG001,Placebo Crossover to Isosorbide Mononitrate,comparator,Placebo/SoC,placebo,1,,59,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02053493
NCT02145351,SAE,"Adverse Events were assessed for all subjects during Pacemaker implantation (4 weeks), first treatment period (4 weeks), washout period (4 weeks), and second treatment period (4 weeks) for a total of approximately 16 weeks.",0.9205983889528194,resultsSection.adverseEventsModule,EG002,Pacemaker Implantation,treatment,Other,pacemaker implantation,1,,32,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02145351
NCT02173548,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG000,Anakinra,treatment,Other,anakinra,1,,20,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02173548
NCT02173548,SAE,24 weeks,5.523590333716917,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,10,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02173548
NCT02256345,SAE,Adverse events were collected at every visit. There are a total of three visits that are 1 week apart.,0.23014959723820486,resultsSection.adverseEventsModule,EG001,Randomized to KCl,treatment,Other,randomized to kcl,1,,3,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02256345
NCT02256345,SAE,Adverse events were collected at every visit. There are a total of three visits that are 1 week apart.,0.23014959723820486,resultsSection.adverseEventsModule,EG000,Randomized to KNO3,treatment,Other,randomized to kno3,4,,9,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02256345
NCT02262078,SAE,From baseline to X hours following treatment.,,resultsSection.adverseEventsModule,EG000,Placebo (Saline),comparator,Placebo/SoC,placebo,1,,13,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02262078
NCT02262078,SAE,From baseline to X hours following treatment.,,resultsSection.adverseEventsModule,EG001,Sodium Nitrite,treatment,Other,sodium nitrite,1,,13,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02262078
NCT02636439,SAE,20 weeks,4.6029919447640975,resultsSection.adverseEventsModule,EG001,"Dietary, Aerobic, and Resistance Training",treatment,Other,"dietary, aerobic, and resistance training",2,,44,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02636439
NCT02636439,SAE,20 weeks,4.6029919447640975,resultsSection.adverseEventsModule,EG000,"Dietary, and Aerobic Exercise",treatment,Other,"dietary, and aerobic exercise",1,,44,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02636439
NCT02693002,SAE,12 weeks,2.7617951668584584,resultsSection.adverseEventsModule,EG000,Hormone Replacement Therapy,treatment,Other,hormone replacement therapy,1,,2,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02693002
