outcome,intervention_class,scenario,delta,missing_fraction_participants,eligible_completed_trials,observed_trials,missing_trials,total_participants,missing_participants,observed_rr,adjusted_rr,observed_absolute_per_1000,adjusted_absolute_per_1000,conclusion_change,robust_under_scenario
HF_HOSPITALIZATION,MRA,S0_MAR,0.0,0.0,1,1,0,6016.0,0.0,0.8427099011666432,0.8427099011666432,15.729009883335678,15.729009883335678,stable,True
HF_HOSPITALIZATION,MRA,delta_+0.10,0.1,0.0,1,1,0,6016.0,0.0,0.8427099011666432,0.8427099011666432,15.729009883335678,15.729009883335678,stable,True
HF_HOSPITALIZATION,MRA,delta_+0.20,0.2,0.0,1,1,0,6016.0,0.0,0.8427099011666432,0.8427099011666432,15.729009883335678,15.729009883335678,stable,True
HF_HOSPITALIZATION,Other,S0_MAR,0.0,0.8497957473551901,102,5,98,9547.0,8113.0,1.008289575376717,1.008289575376717,-0.8289575376716982,-0.8289575376716982,stable,True
HF_HOSPITALIZATION,Other,delta_+0.10,0.1,0.8497957473551901,102,5,98,9547.0,8113.0,1.008289575376717,1.097719647443607,-0.8289575376716982,-9.771964744360702,stable,True
HF_HOSPITALIZATION,Other,delta_+0.20,0.2,0.8497957473551901,102,5,98,9547.0,8113.0,1.008289575376717,1.1950817045128226,-0.8289575376716982,-19.508170451282254,stable,True
HF_HOSPITALIZATION,SGLT2 inhibitors,S0_MAR,0.0,0.10563585924952548,9,2,7,13698.0,1447.0,0.8388529194992276,0.8388529194992276,16.11470805007724,16.11470805007724,stable,True
HF_HOSPITALIZATION,SGLT2 inhibitors,delta_+0.10,0.1,0.10563585924952548,9,2,7,13698.0,1447.0,0.8388529194992276,0.847761183158267,16.11470805007724,15.223881684173307,stable,True
HF_HOSPITALIZATION,SGLT2 inhibitors,delta_+0.20,0.2,0.10563585924952548,9,2,7,13698.0,1447.0,0.8388529194992276,0.8567640488143602,16.11470805007724,14.323595118563986,stable,True
HF_HOSPITALIZATION,sGC stimulators,S0_MAR,0.0,0.6553468208092486,3,1,2,1384.0,907.0,0.9082031249999999,0.9082031249999999,9.179687500000014,9.179687500000014,stable,True
HF_HOSPITALIZATION,sGC stimulators,delta_+0.10,0.1,0.6553468208092486,3,1,2,1384.0,907.0,0.9082031249999999,0.9697155117365722,9.179687500000014,3.028448826342782,stable,True
HF_HOSPITALIZATION,sGC stimulators,delta_+0.20,0.2,0.6553468208092486,3,1,2,1384.0,907.0,0.9082031249999999,1.0353941181412718,9.179687500000014,-3.5394118141271775,benefit_lost,False
SAE,MRA,S0_MAR,0.0,0.0,1,1,0,6016.0,0.0,0.790909090909091,0.790909090909091,20.909090909090907,20.909090909090907,stable,True
SAE,MRA,delta_+0.10,0.1,0.0,1,1,0,6016.0,0.0,0.790909090909091,0.790909090909091,20.909090909090907,20.909090909090907,stable,True
SAE,MRA,delta_+0.20,0.2,0.0,1,1,0,6016.0,0.0,0.790909090909091,0.790909090909091,20.909090909090907,20.909090909090907,stable,True
SAE,Other,S0_MAR,0.0,0.6555986173667121,102,22,84,9547.0,6259.0,0.9875510698080897,0.9875510698080897,1.244893019191025,1.244893019191025,stable,True
SAE,Other,delta_+0.10,0.1,0.6555986173667121,102,22,84,9547.0,6259.0,0.9875510698080897,1.0544642251307863,1.244893019191025,-5.44642251307863,stable,True
SAE,Other,delta_+0.20,0.2,0.6555986173667121,102,22,84,9547.0,6259.0,0.9875510698080897,1.125911191911061,1.244893019191025,-12.591119191106088,harm_threshold_crossed,False
SAE,SGLT2 inhibitors,S0_MAR,0.0,0.022193020878960433,9,5,4,13698.0,304.0,0.7813519175761899,0.7813519175761899,21.864808242381002,21.864808242381002,stable,True
SAE,SGLT2 inhibitors,delta_+0.10,0.1,0.022193020878960433,9,5,4,13698.0,304.0,0.7813519175761899,0.783087899139483,21.864808242381002,21.69121008605171,stable,True
SAE,SGLT2 inhibitors,delta_+0.20,0.2,0.022193020878960433,9,5,4,13698.0,304.0,0.7813519175761899,0.7848277376485648,21.864808242381002,21.51722623514351,stable,True
SAE,sGC stimulators,S0_MAR,0.0,0.08526011560693642,3,3,1,1384.0,118.0,0.9362525751739763,0.9362525751739763,6.374742482602372,6.374742482602372,stable,True
SAE,sGC stimulators,delta_+0.10,0.1,0.08526011560693642,3,3,1,1384.0,118.0,0.9362525751739763,0.9442692018167795,6.374742482602372,5.573079818322043,stable,True
SAE,sGC stimulators,delta_+0.20,0.2,0.08526011560693642,3,3,1,1384.0,118.0,0.9362525751739763,0.9523544705166881,6.374742482602372,4.764552948331186,stable,True
