nct_id,outcome,intervention_class,intervention_label,comparator_class,e_t,n_t,e_c,n_c,cer,log_rr,var_log_rr,rr,ef_band,primary_completion_year,enrollment,time_months
NCT04435626,HF_HOSPITALIZATION,MRA,finerenone,Placebo/SoC,1083.0,3003.0,1283.0,2998.0,0.4279519679786524,-0.171132506935433,0.0010362282241736492,0.8427099011666432,mixed_or_midrange,2024.0,6016,32.0
NCT02173548,HF_HOSPITALIZATION,Other,anakinra,Placebo/SoC,1.0,20.0,1.0,8.0,0.125,-0.916290731874155,1.825,0.4,strict_hfpef,2017.0,31,5.523590333716917
NCT03037580,HF_HOSPITALIZATION,Other,oral treprostinil,Placebo/SoC,35.0,41.0,38.0,43.0,0.8837209302325582,-0.03461004924771746,0.007241160189185383,0.9659820282413351,mixed_or_midrange,2019.0,84,5.523590333716916
NCT03153111,HF_HOSPITALIZATION,Other,macitentan,Placebo/SoC,18.0,71.0,13.0,71.0,0.18309859154929578,0.32542240043462795,0.10430961839412543,1.3846153846153846,mixed_or_midrange,2021.0,143,11.967779056386652
NCT04788511,HF_HOSPITALIZATION,Other,semaglutide 2.4 mg,Placebo/SoC,60.0,263.0,35.0,266.0,0.13157894736842105,0.5503387773366216,0.037676415373033345,1.7338403041825097,unknown,2023.0,529,13.118527042577677
NCT04847557,HF_HOSPITALIZATION,Other,tirzepatide - mtd,Placebo/SoC,36.0,364.0,56.0,367.0,0.15258855585831063,-0.4336247718612098,0.040162872247340914,0.6481554160125588,strict_hfpef,2024.0,731,36.82393555811278
NCT03057951,HF_HOSPITALIZATION,SGLT2 inhibitors,empagliflozin,Placebo/SoC,7.0,2997.0,9.0,2991.0,0.003009027081243731,-0.25331843696762124,0.2533002506255599,0.776220665109554,mixed_or_midrange,2021.0,5988,46.09445585215606
NCT03619213,HF_HOSPITALIZATION,SGLT2 inhibitors,dapa 10 mg,Placebo/SoC,512.0,3131.0,610.0,3132.0,0.19476372924648785,-0.17481499634356099,0.0029537976828642428,0.8396123377541351,mixed_or_midrange,2022.0,6263,42.1
NCT01951638,HF_HOSPITALIZATION,sGC stimulators,bay1021189 1.25 mg; bay1021189 2.5 mg; bay1021189 2.5 mg to 10 mg; bay1021189 2.5 mg to 5 mg,Placebo/SoC,30.0,384.0,8.0,93.0,0.08602150537634409,-0.0962872194521516,0.14497647849462367,0.9082031249999999,mixed_or_midrange,2015.0,477,2.7617951668584584
